Namespace,Name,System name,Last updated,Private base URL,Linked products,3Scale
,adiq-wallet-web-hml,adiq-wallet-web-hml,"June 05, 2024 19:31",http://wallet-web.adiq-wallet-hml.svc.cluster.local:8080,1,C2RJ
,adiq-wallet-web-prd,adiq-wallet-web-prd,"June 05, 2024 19:32",https://wallet-prd-3scale.adiq.io:443,3,C2RJ
,adiq-wallet-web-stg,adiq-wallet-web-stg,"December 09, 2025 13:58",http://wallet-web.adiq-wallet-stg.svc.cluster.local:8080,1,C1NPRD
,adiq-wallet-web-stg,adiq-wallet-web-stg,"June 05, 2024 19:32",http://wallet-web.adiq-wallet-stg.svc.cluster.local:8080,1,C2RJ
,api,api,"November 24, 2025 20:19",https://echo-api.3scale.net:443,,C1NPRD
,api,api,"May 20, 2024 16:17",https://echo-api.3scale.net:443,,
,fpa-hub-backoffice-api-prd,fpa-hub-backoffice-api-prd,"December 01, 2025 18:45",https://fpa-hub-backoffice-api-fpa-prd.apps.sp.adiq.local:443,1,C1NPRD
,fpa-hub-backoffice-api-prd,fpa-hub-backoffice-api-prd,"December 02, 2024 20:31",https://fpa-hub-backoffice-api-fpa-prd.apps.sp.adiq.local:443,1,C2RJ
,gwbancario-api-boleto-prd,gwbancario-api-boleto-prd,"June 17, 2024 13:41",https://gwbancario-api-boleto-prd-3scale.adiq.io:443,1,C2RJ
,gwbancario-servico-boleto-prd,gwbancario-servico-boleto-prd,"June 17, 2024 13:41",https://gwbancario-servico-boleto-prd-3scale.adiq.io:443,1,C2RJ
,legados-bs2-backoffice-antecipacao-prd,legados-bs2-backoffice-antecipacao-prd,"September 25, 2024 23:47",http://adiq-legados-b2-backoffice-antecipacao.adiq-legados-bs2-prd.svc.cluster.local:8080,1,C2RJ
,legados-bs2-portal-antecipacao-api-prd,legados-bs2-portal-antecipacao-api-prd,"September 26, 2024 00:07",http://adiq-legados-b2-portal-antecipacao-web.adiq-legados-bs2-prd.svc.cluster.local:8080,1,C2RJ
,legados-bs2-portal-antecipacao-web-hml,legados-bs2-portal-antecipacao-web-hml,"December 01, 2025 17:18",http://adiq-legados-b2-portal-antecipacao-web.adiq-legados-bs2-hml.svc.cluster.local:8080,1,C1NPRD
,legados-bs2-portal-antecipacao-web-hml,legados-bs2-portal-antecipacao-web-hml,"September 26, 2024 10:38",http://adiq-legados-b2-portal-antecipacao-web.adiq-legados-bs2-hml.svc.cluster.local:8080,1,C2RJ
,legados-bs2-portal-antecipacao-web-prd,legados-bs2-portal-antecipacao-web-prd,"December 01, 2025 17:18",http://adiq-legados-b2-portal-antecipacao-web.adiq-legados-bs2-prd.svc.cluster.local:8080,1,C1NPRD
,legados-bs2-portal-antecipacao-web-prd,legados-bs2-portal-antecipacao-web-prd,"September 26, 2024 00:11",http://adiq-legados-b2-portal-antecipacao-web.adiq-legados-bs2-prd.svc.cluster.local:8080,1,C2RJ
,legados-bs2-ws-transporte-arquivos-prd,legados-bs2-ws-transporte-arquivos-prd,"December 01, 2025 17:18",http://adiq-legados-b2-ws-transportearquivos.adiq-legados-bs2-prd.svc.cluster.local:8080,1,C1NPRD
,legados-bs2-ws-transporte-arquivos-prd,legados-bs2-ws-transporte-arquivos-prd,"September 25, 2024 23:47",http://adiq-legados-b2-ws-transportearquivos.adiq-legados-bs2-prd.svc.cluster.local:8080,1,C2RJ
,monitoracao-adiq-portal-prd,monitoracao-adiq-portal-prd,"December 01, 2025 16:49",http://adiq-monitoracao-arquivos-portal.monitoracao-adiq-prd.svc.cluster.local:8080,1,C1NPRD
,monitoracao-adiq-portal-prd,monitoracao-adiq-portal-prd,"October 22, 2024 17:52",http://adiq-monitoracao-arquivos-portal.monitoracao-adiq-prd.svc.cluster.local:8080,1,C2RJ
,registradora-cerc-webhook-prd,registradora-cerc-webhook-prd,"December 01, 2025 18:24",http://adiq-registradora-cerc-webhook.adiq-registradora-cerc-prd.svc.cluster.local:8080,1,C1NPRD
,registradora-cerc-webhook-prd,registradora-cerc-webhook-prd,"September 20, 2024 11:21",http://adiq-registradora-cerc-webhook.adiq-registradora-cerc-prd.svc.cluster.local:8080,1,C2RJ
,registradora-cerc-webhook-stg,registradora-cerc-webhook-stg,"December 01, 2025 18:24",http://adiq-registradora-cerc-webhook.adiq-registradora-cerc-stg.svc.cluster.local:8080,1,C1NPRD
,registradora-cerc-webhook-stg,registradora-cerc-webhook-stg,"September 20, 2024 11:21",http://adiq-registradora-cerc-webhook.adiq-registradora-cerc-stg.svc.cluster.local:8080,1,C2RJ
,stella-auth-hml,stella-auth-hml,"December 01, 2025 20:55",https://rh-sso-sp.adiq.io:443,1,C1NPRD
,stella-auth-hml,stella-auth-hml,"November 11, 2025 10:25",https://rh-sso-sp.adiq.io:443,1,C2RJ
,stella-auth-prd,stella-auth-prd,"December 10, 2025 19:51",https://rh-sso-sp.adiq.io:443,1,C1NPRD
,stella-auth-prd,stella-auth-prd,"December 10, 2025 16:51",https://rh-sso-sp.adiq.io:443,1,C2RJ
,stella-auth-qa,stella-auth-qa,"December 01, 2025 20:55",https://rh-sso-sp.adiq.io:443,1,C1NPRD
,stella-auth-qa,stella-auth-qa,"November 25, 2025 15:13",https://rh-sso-sp.adiq.io:443,1,C2RJ
,stella-pagamentos-adq001-api-hml,stella-pagamentos-adq001-api-hml,"December 01, 2025 20:55",http://adiq-stella-pagamentos-adq001-api.stella-hml.svc.cluster.local:8080,1,C1NPRD
,stella-pagamentos-adq001-api-hml,stella-pagamentos-adq001-api-hml,"November 10, 2025 15:08",http://adiq-stella-pagamentos-adq001-api.stella-hml.svc.cluster.local:8080,1,C2RJ
stella-prd,stella-pagamentos-adq001-api-prd,stella-pagamentos-adq001-api-prd,"December 10, 2025 19:51",http://adiq-stella-pagamentos-adq001-api.stella-prd.svc.cluster.local:8080,1,C1NPRD
stella-prd,stella-pagamentos-adq001-api-prd,stella-pagamentos-adq001-api-prd,"December 10, 2025 16:51",http://adiq-stella-pagamentos-adq001-api.stella-prd.svc.cluster.local:8080,1,C2RJ
stella-qa,stella-pagamentos-adq001-api-qa,stella-pagamentos-adq001-api-qa,"December 01, 2025 20:55",http://adiq-stella-pagamentos-adq001-api.stella-qa.svc.cluster.local:8080,1,C1NPRD
stella-qa,stella-pagamentos-adq001-api-qa,stella-pagamentos-adq001-api-qa,"November 25, 2025 15:13",http://adiq-stella-pagamentos-adq001-api.stella-qa.svc.cluster.local:8080,1,C2RJ
